CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
11-0-005151,-15.34307722,29.23655153,-15.34309942,29.23649053,20.08447717,0.302895285,20.82377741,19.36292355,0.367946817,1.075445934,20.33894189,0.000295604,0.000323181,0.04573991,0.042915784,1.397304944,0.007332508,0.003355856,0.98376167,122,,,,,,CpxFF,Terraced,Floor Deposits,,,1,1,1
04-1-000251,-44.51005055,212.7088257,-44.51552486,212.7068799,98.56470187,2.537302796,103.5941608,93.49187369,0.430727404,1.108055243,94.57717552,0.002148478,0.002533899,0.286953131,0.243560326,1.392837458,0.007190386,0.004213461,0.84588379,508,,,,,,CpxUnc,Gullies,Floor Deposits / Tectonics,,,2,1,1
07-1-015188,-21.99952072,326.5219095,-21.9993692,326.5218105,19.59137482,0.322887821,19.81502992,19.32691918,0.220589924,1.025255486,20.83802438,0.000597043,0.000670859,0.088148805,0.086063004,8.664391864,0.027145823,0.006453347,1,117,,Rd,,,,CpxFF,,Floor Deposits / Slump Deposits,,,2,2,2
04-1-006496,-55.10908464,207.7054176,-55.10906659,207.7053935,12.05603091,0.21608315,12.17416739,11.89597566,0.212555415,1.023385365,52.94428969,0.000390555,0.000776618,0.058525074,0.061827024,10.35676351,0.031802761,0.007245271,1,100,1,SLERS,HuSL,,,CpxCPk,,Slump Deposits,,,3,2,3
12-1-002003,-47.94145965,49.05291698,-47.94086324,49.04617207,13.96320958,0.408147443,14.81670695,12.42437245,0.544843051,1.192551737,79.61441963,0.000402422,0.000740659,0.058441641,0.077334952,1.166714555,0.009509981,0.008787852,0.82720077,85,,,,,,CpxUnc,,Floor Deposits,,,1,1,1
15-1-042261,-41.21436307,125.078664,-41.21443786,125.0789598,33.46115921,0.491421786,33.71786958,33.13661057,0.184880022,1.017541294,49.31922813,0.000676748,0.000945898,0.101305432,0.099441434,8.140175532,0.022183856,0.004320989,1,237,,Rd,,,There may be a cohesive lobe within the Rd ejecta.,CpxCPt,Gullies,Slump Deposits,,,3,2,3
03-1-019472,-31.42541487,262.5341317,-31.42537422,262.5340888,15.24421188,0.22712578,15.45993517,15.02322593,0.236003543,1.029068939,13.42280752,0.000373649,0.000463627,0.057590704,0.054469554,5.946274307,0.020799588,0.00534942,1,98,,Rd,,,,CpxCPt,,Slump Deposits,,,3,2,3
03-1-009269,-18.63913995,191.5726303,-18.63924022,191.5725986,10.95580362,0.198441762,11.27806255,10.62914108,0.334314371,1.061051167,122.7644794,0.000358017,0.000372505,0.052544133,0.04992674,3.749187911,0.017577492,0.007019739,1,67,,,,,,CpxFF,,Floor Deposits / Slump Deposits,,,1,1,1
11-0-009915,-4.013274008,3.665625298,-4.013262511,3.665583059,31.98950212,0.415575665,32.79360567,31.18668196,0.309194353,1.051525959,126.4042258,0.000412277,0.000404932,0.059920234,0.057460554,1.747769356,0.007590029,0.002728569,1,182,,,,,,CpxFF,Terraced,Slump Deposits,,,2,1,2
06-1-010482,16.72954413,331.1786412,16.7293637,331.1783397,30.05674692,0.560467401,30.81180617,29.22222213,0.317046769,1.054396412,114.6015441,0.000928721,0.000950722,0.136205037,0.131450464,3.899843421,0.01789284,0.006649889,1,153,2,DLERS,HuBL,,,CpxCPt,Terraced,Ejecta Deposits / Floor Deposits,,,2,2,2
