CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
08-1-006412,-57.719948,332.65594,-57.72285,332.65247,35.85491,0.9071904,38.642483,33.514442,0.49779394,1.1530098,47.591183,0.00050806,0.001035154,0.086335026,0.07003161,0.6692077,0.004622503,0.003527165,0.9274792,266.0,,,,,,CpxUnc,,Floor Deposits,,,1,1,1
10-0-011225,33.196606,7.2712917,33.196606,7.2713513,2.8740678,0.041272596,2.917275,2.8267884,0.2471293,1.0320103,4.2944617,0.000172927,0.000209345,0.024802396,0.02476272,13.441277,0.04637996,0.012598151,1.0,20.0,,,,,,,,,,,,,
03-1-000713,-3.6906881,205.491,-3.6909008,205.49095,2.3588355,0.07069048,2.5078607,2.2330906,0.4551075,1.1230447,179.06755,0.000237079,0.000282413,0.040615737,0.033252522,6.5221467,0.038328897,0.024707653,1.0,16.0,,,,,,,,,,,,,
08-1-007741,-59.70794,276.9483,-59.70799,276.9475,1.1434225,0.06244588,1.310172,0.96430576,0.6769656,1.3586686,84.03567,0.000102428,0.00017711,0.014185196,0.012709605,1.9395971,0.013649162,0.023174651,1.0,11.0,,,,,,,,,,,,,
10-0-003650,8.75958,58.328087,8.759484,58.328045,4.0299315,0.072596796,4.195977,3.8727503,0.38487807,1.0834619,44.48119,0.000214465,0.000174997,0.028164793,0.025167553,4.4036503,0.020678816,0.010122546,0.83212537,22.0,,,,,,Smp,,,,,2,1,3
09-4-002794,52.46882,18.71116,52.468826,18.711199,1.1004823,0.016032794,1.1205481,1.0765138,0.2775791,1.0409046,42.335648,0.0000977,0.000151091,0.013443971,0.013894746,14.860104,0.058593515,0.01834295,1.0,16.0,,,,,,,,,,,,,
07-1-005119,-6.2088804,304.12582,-6.2087016,304.1261,1.0343753,0.06427437,1.1795259,0.8885196,0.65769374,1.3275181,72.22164,0.000557517,0.00046335,0.0940572,0.071224816,9.777351,0.097552374,0.15010077,1.0,9.0,,,,,,,,,,,,,
15-1-038037,-35.550175,152.3326,-35.55027,152.33292,1.0948665,0.06255738,1.2587982,0.9453538,0.6603055,1.3315631,51.150795,0.000204122,0.000271569,0.033004306,0.026316835,4.5125747,0.032663528,0.050920572,1.0,10.0,,,,,,,,,,,,,
15-1-026501,-23.984617,153.47635,-23.98458,153.47614,1.7350893,0.062257886,1.8322115,1.6186181,0.46857607,1.1319604,130.90968,0.000295737,0.000337201,0.041844882,0.041331235,9.668672,0.057058748,0.03877895,1.0,17.0,,,,,,,,,,,,,
11-0-011846,-4.7111154,29.784195,-4.711402,29.784164,18.058817,0.5517023,18.802158,17.267319,0.39572525,1.088887,42.187683,0.000844393,0.00084871,0.12543721,0.1166946,3.7784,0.020239323,0.01034042,1.0,106.0,,,,,,CpxUnc,,Ejecta Deposits / Floor Deposits,,,1,1,1
